D33I06	D33I07	D33I08	D33I10	D33J01	D34G04	D34G05	D34G06	D34G07	D34G09	D34G10
LOC113006819	18	2	9	22	24	57	29	34	15	47	19
LOC113006820	34	44	48	97	121	647	454	126	12	217	14
LOC113006822	15	40	1844	1	14	113	3044	2	331	6	2204
LOC113006823	64	86	134	71	66	201	131	100	13	247	43
LOC113006826	11	0	7	10	10	385	84	83	29	112	47
LOC113006827	54	45	42	23	70	147	125	43	33	183	34
LOC113006830	0	0	0	0	0	0	0	0	0	0	0
LOC113006831	14	7	0	5	16	12	39	0	0	5	0
LOC113006832	752	317	306	667	316	1460	462	772	88	1126	280
LOC113006834	31	4	78	16	15	91	6	25	10	6	1
LOC113006835	0	1	0	0	0	4	3	14	0	2	0
LOC113006836	12	1	2	4	1	42	16	18	0	16	5
LOC113006837	0	0	2	0	0	17	0	0	0	0	0
LOC113006838	18	0	0	0	3	62	16	26	5	11	9
LOC113006839	18	14	15	19	39	121	88	39	3	91	6
LOC113006841	0	0	0	0	0	0	0	4	0	5	0
LOC113006843	62	34	19	33	12	257	46	89	16	84	16
LOC113006844	168	95	171	81	247	544	467	140	82	185	145
LOC113006845	139	71	14	138	257	258	270	19	0	79	0
LOC113006846	0	0	0	1	0	0	0	1	0	0	0
LOC113006847	0	0	0	0	0	0	3	0	0	0	0
LOC113006848	0	0	0	0	0	0	0	0	0	0	0
LOC113006849	0	0	0	0	2	0	1	0	0	0	0
LOC113006850	32	4	0	14	14	1	40	0	0	15	0
LOC113006854	8	16	0	35	45	37	207	208	165	267	149
LOC113006855	165	103	148	142	158	157	76	65	12	69	21
LOC113006858	28	16	34	15	27	436	282	154	31	214	85
LOC113006859	878	278	534	455	129	588	144	360	45	585	44
LOC113006860	10	3	6	0	0	38	7	4	3	11	0
LOC113006862	126	107	71	103	200	508	224	62	7	158	13
LOC113006865	6	0	3	1	25	22	34	0	0	4	2
LOC113006871	1058	917	594	729	781	906	679	1092	873	1189	675
LOC113006872	139	127	297	166	229	2105	1141	703	370	889	317
LOC113006873	2	0	5	0	10	3	35	6	0	0	0
LOC113006874	1591	609	67	407	1356	47	114	14	0	87	0
LOC113006878	30	7	9	63	1	11	4	30	1	2	16
LOC113006879	0	0	0	0	0	0	0	0	5	0	0
LOC113006880	3270	1820	2539	1252	3348	3326	1449	605	664	822	521
LOC113006883	571	448	46	934	1668	484	1321	458	492	1256	486
LOC113006886	4	0	0	0	10	10	6	0	0	4	0
LOC113006887	33	10	40	13	3	51	24	1	0	0	11
LOC113006890	0	0	0	0	0	0	0	0	0	0	0
LOC113006893	650	345	185	487	2016	2164	1503	147	59	909	89
LOC113006894	0	0	0	0	0	0	5	0	0	0	0
LOC113006895	0	1	7	0	2	1	11	14	17	27	11
LOC113006902	26	49	8	14	168	200	184	2	0	42	6
LOC113006905	115	112	73	73	95	439	196	106	31	235	70
LOC113006906	67	39	43	28	32	21	9	31	4	25	0
LOC113006909	25	25	17	7	60	119	86	7	0	36	0
LOC113006910	1833	1398	2298	1333	1574	3258	2295	2346	2437	2482	1537
LOC113006912	496	633	348	500	618	457	1036	1049	1119	1604	1069
LOC113006913	8	8	12	5	3	12	14	16	1	10	0
LOC113006914	69	93	54	14	42	120	7	9	4	26	0
LOC113006916	30	13	35	40	37	113	104	85	14	63	13
LOC113006918	157	212	206	229	900	4257	2732	622	230	1498	300
LOC113006921	0	5	0	2	3	5	7	0	8	6	3
LOC113006932	61	54	48	80	111	190	183	109	13	126	34
LOC113006935	0	12	12	22	124	280	87	20	13	60	6
LOC113006938	0	0	0	0	1	2	2	0	1	0	0
LOC113006939	0	0	0	0	0	0	0	0	0	0	0
LOC113006940	0	6	1	8	5	108	1	0	0	15	0
LOC113006941	63	62	71	55	20	625	56	210	61	154	123
LOC113006943	54	65	13	46	200	249	163	9	4	72	3
LOC113006944	64	68	100	40	145	360	316	79	19	209	26
LOC113006946	4427	2728	2650	2474	3046	2434	1592	1213	681	2221	508
LOC113006948	5063	1264	6795	3419	1952	20528	4327	11421	5473	11250	7937
LOC113006950	43	67	101	44	115	78	97	35	35	93	27
LOC113006952	0	0	3	4	4	2	5	1	0	0	0
LOC113006954	0	0	0	4	0	0	0	0	0	0	0
LOC113006956	123	124	151	118	227	302	354	272	252	440	187
LOC113006957	0	104	0	0	0	0	0	0	0	0	0
LOC113006958	0	0	0	0	4	0	0	1	0	0	0
LOC113006959	0	0	0	0	0	0	3	0	0	1	0
LOC113006960	0	0	1	0	5	3	3	0	0	5	0
LOC113006961	0	0	0	0	3	3	0	0	0	0	0
LOC113006963	1	0	0	0	0	0	0	0	0	0	0
LOC113006964	0	4	1	1	1	2	0	0	0	4	0
LOC113006967	4	0	2	0	0	0	0	1	1	1	0
LOC113006969	8	0	0	3	0	0	1	0	0	0	0
LOC113006970	0	0	0	0	0	0	0	0	0	0	0
LOC113006971	0	0	0	0	0	0	0	0	0	0	0
LOC113006972	0	0	0	0	0	0	7	0	0	0	0
LOC113006973	0	0	0	0	0	11	0	0	0	0	0
LOC113006974	0	0	3	3	3	10	5	0	4	5	2
LOC113006975	0	0	0	0	2	0	4	0	0	0	0
LOC113006976	0	1	0	0	0	0	0	0	0	3	0
LOC113006977	0	0	0	0	0	4	0	0	0	5	0
LOC113006978	8	2	0	5	0	8	0	11	4	2	0
LOC113006980	2	18	0	1	19	30	26	5	0	5	16
LOC113006981	5	0	19	1	25	92	50	49	32	51	18
LOC113006985	208	137	556	70	125	165	104	180	46	409	11
LOC113006986	132	58	71	63	45	344	40	141	58	243	35
LOC113006988	193	178	124	134	159	209	154	196	79	195	53
LOC113006990	0	0	0	0	0	0	0	0	0	0	0
LOC113006991	193	220	249	122	307	481	277	141	98	238	90
LOC113006992	90	24	76	29	122	150	95	21	25	74	15
LOC113006993	101	115	210	32	25	30	66	48	9	131	24
LOC113006994	0	0	0	0	0	0	1	0	0	0	0
LOC113006995	0	2	0	1	0	3	0	0	0	0	0
LOC113006996	50	124	15	4	152	11	54	1	5	131	0
LOC113006997	0	0	0	0	0	0	0	0	0	0	0
LOC113006999	630	447	663	454	389	2221	796	1791	611	1068	1133
LOC113007002	0	0	0	5	0	0	0	2	0	3	0
LOC113007003	0	0	0	0	0	3	0	0	0	0	0
LOC113007004	22	3	2	9	1	11	6	7	4	6	4
LOC113007005	181	283	153	180	122	1362	146	408	32	146	154
LOC113007008	6	16	0	16	66	209	169	46	34	90	28
LOC113007010	0	0	0	0	0	0	0	3	0	0	0
LOC113007011	0	1	0	1	3	7	8	0	3	2	1
LOC113007012	139	76	40	44	613	589	810	24	36	190	34
LOC113007014	0	0	0	0	0	0	7	0	0	0	0
LOC113007016	2	6	1	0	3	2	1	2	0	8	0
LOC113007018	13	9	20	18	15	43	8	4	9	13	0
LOC113007020	3	3	0	0	0	2	0	3	0	0	0
LOC113007023	10	4	15	21	3	20	45	75	37	38	6
LOC113007024	0	0	0	2	0	2	0	0	0	3	0
LOC113007029	181	119	325	141	274	391	242	189	100	423	87
LOC113007031	0	0	0	0	0	2	0	0	0	1	0
LOC113007032	1148	724	395	465	1806	3468	2379	148	161	1027	141
LOC113007039	70	31	132	25	41	124	71	153	5	248	21
LOC113007040	0	0	0	0	0	1	0	0	0	5	0
LOC113007042	0	0	0	0	0	0	0	0	0	0	0
LOC113007044	0	0	28	11	3	8	8	6	3	13	8
LOC113007046	65	81	27	66	270	573	339	126	173	299	168
LOC113007052	0	2	10	0	3	3	2	0	0	0	0
LOC113007058	375	367	93	328	257	153	72	147	42	136	36
LOC113007059	4	13	17	34	2	25	98	103	67	69	51
LOC113007061	234	131	17	277	444	189	256	22	12	214	37
LOC113007063	66	66	88	40	67	88	15	23	11	42	44
LOC113007064	5	22	7	14	12	42	46	15	9	33	12
LOC113007065	0	0	27	0	3	9	2	0	0	2	0
LOC113007068	11	8	16	10	6	36	45	8	3	8	2
LOC113007069	0	0	0	0	0	0	0	0	0	0	0
LOC113007070	0	0	0	0	0	0	0	0	0	0	0
LOC113007071	0	0	0	0	0	0	3	0	0	0	0
LOC113007073	0	0	0	0	3	12	5	2	0	1	0
LOC113007074	22	6	15	13	3	140	1	32	3	31	17
LOC113007076	15	12	1	1	4	6	2	1	0	1	0
LOC113007078	0	6	0	0	0	0	0	0	0	0	0
LOC113007080	0	0	0	0	0	0	0	0	0	0	0
LOC113007081	80	69	27	81	160	163	182	20	5	104	5
LOC113007082	0	0	0	8	2	0	3	0	0	4	0
LOC113007083	2821	546	3932	1363	1764	14126	6408	9246	2388	7998	4792
LOC113007084	0	0	2	0	6	3	0	0	0	0	0
LOC113007085	13	15	4	6	38	76	148	12	4	39	0
LOC113007086	0	0	0	0	0	2	0	0	0	21	0
LOC113007087	0	7	13	0	10	20	7	10	2	16	3
LOC113007090	1	1	18	1	7	8	0	0	0	3	0
LOC113007094	0	0	5	0	0	2	0	0	0	1	0
LOC113007095	525	326	835	372	547	1873	1095	1567	231	1167	253
LOC113007096	0	0	0	0	0	0	0	0	0	0	0
LOC113007097	239	207	67	216	400	288	315	120	61	181	69
LOC113007098	38	29	64	6	160	199	14	7	55	0	8
LOC113007099	0	0	3	2	15	13	4	0	0	0	0
LOC113007105	15	0	3	3	4	7	4	0	0	0	0
LOC113007106	35	61	20	82	61	729	344	464	45	326	192
LOC113007109	328	130	138	301	110	1057	246	560	59	488	133
LOC113007110	10	0	20	22	2	21	48	48	15	13	12
LOC113007113	16	8	14	10	6	102	19	18	2	47	1
LOC113007114	12	6	58	47	40	208	81	262	33	147	53
LOC113007115	0	26	0	0	3	9	0	0	4	0	0
LOC113007118	123	62	186	114	269	327	475	113	51	285	40
LOC113007123	0	6	0	2	5	6	11	0	0	9	0
LOC113007124	0	0	5	1	0	4	2	3	0	2	0
LOC113007126	24	10	7	19	72	61	119	1	0	41	0
LOC113007127	221	98	138	10	0	1194	16	28	205	25	76
LOC113007128	0	0	0	1	0	0	0	0	0	1	0
LOC113007130	522	870	13	529	408	2	840	1236	1036	935	348
LOC113007132	30	0	11	42	23	37	11	12	0	7	14
LOC113007135	0	0	0	0	0	2	0	9	0	4	485
LOC113007136	38	12	16	12	13	23	3	22	2	6	46
LOC113007139	1	0	0	0	1	0	5	0	3	0	0
LOC113007141	58	37	6	34	141	112	360	46	12	108	2
LOC113007142	1237	649	1537	1188	710	4218	919	1520	613	1751	407
LOC113007143	22	4	13	13	20	144	88	66	29	88	34
LOC113007144	0	0	0	1	2	0	6	0	0	1	0
